"","cHL1","cHL2","cHL3","cHL4","cHL5","cHL6","cHL7","cHL8","cHL9","cHL10","cHL11","cHL12","NLPHL1","NLPHL2","NLPHL3","NLPHL4","NLPHL5","CB1","CB2","CB3","CB4","CB5"
"DNM1L",2.62772559331924,4.20966569208668,5.1108120876607,4.01082243319983,5.28756801887006,2.4284222106951,2.86876271888565,1.7033447272244,2.22949460975835,2.8815668701997,3.44071878298562,2.38332062596022,5.1563555057551,4.74511761263764,5.04387716901714,4.19693865437582,5.70110754897207,6.30872328952242,5.34892868417669,6.79820286781471,6.62696893404554,6.41836501194614
"NR1H3",6.75443929141134,8.52606969332469,7.36373016270163,6.69057450827173,7.35082143972631,7.18426138001161,4.94004632207274,7.01217608777016,8.46176043936038,6.23281202581128,6.34434286951878,6.6541611747385,7.07714006419085,7.82785560190397,8.65222803313331,8.64289976577381,6.74872672395707,2.17926337370062,3.74593032124858,2.86736537402964,2.7472827715129,2.92292147219617
"USH1C",2.39626535318635,2.30418286365268,2.25617270047265,2.5479478555553,3.47483245338277,2.74348925577138,2.13883277629793,4.1738139222861,2.26021697770357,2.56878777718776,4.78356584053235,3.5911931848986,2.48479020797114,2.44169933807536,2.33891353063931,2.29926511038438,2.66285031754821,2.09577735872255,4.17534865356419,3.62963452847121,5.23908013247941,3.77889465298243
"RNA45SN5",8.95709761806697,9.13511496086882,8.95478335808877,8.43977830872693,6.95805201801514,8.8078036405685,6.95009037541853,9.3459715618233,8.61356559214568,8.23359403434966,9.72511421925568,9.22806919145773,8.37737889325505,7.79387890703506,7.02564695071343,8.44031827305381,6.55365935428108,6.24004876394973,6.54661836512301,6.00265147649663,5.6848986464423,5.69076738874798
"COL4A3BP",6.33109728816501,6.04806533809173,5.93257662592891,6.0151653290504,5.78449772808393,4.96144444335536,3.26189590070214,4.13455941669023,3.32580455688308,4.25573447730787,4.11353526555994,5.17738532307726,4.73221574630376,5.8129793322366,5.90857657810099,5.99843026166544,5.79892108747842,6.69579425164413,5.96268821430101,5.86301910336181,6.21413944284913,6.09868052877207
"ARPC3",3.75462596731698,3.37943755122648,2.93297722897178,3.23129970360121,2.85688547670276,2.61108090886876,2.81005451364653,2.38142224793945,3.09428690288566,2.55694796952901,2.61857143317939,3.17580339231286,4.91406474629331,3.31569089553985,4.77018748721088,3.82356272309748,3.51230857163092,5.26818999751637,3.26304784490892,4.5410468557327,4.18675555911933,4.06390831987945
"ACTR3",5.778869394272,6.12634600068194,6.9028782848585,6.30880101822284,6.35052316386429,4.33680146185226,6.01520076082272,3.57957094065993,4.65764535933221,3.80574632560984,5.0474245745286,6.06778149351199,6.40538827968191,6.41857699089128,6.46165098311015,6.26599905982524,7.17432108451997,8.17148314741089,7.83183934729596,8.33329011823411,8.5701195635207,7.86258423742024
"TSPAN5",5.17236885117114,5.65888010946313,5.78127287393415,6.15145432567949,7.01174059432818,7.34737287528374,5.02995335150151,5.90105030373715,6.05397988517186,6.83032843839073,7.36248387123839,6.75953599941153,5.83062933786952,6.23724979339896,5.12543738437132,6.24154325887614,6.81920559432747,5.04550141726168,4.67286901003744,3.75786866606402,4.9974353831014,4.88978622030902
"ADAM8",5.3801272035686,6.45681755616829,6.90333669552709,6.80071950423118,6.43437666927516,7.79697406702429,4.92227295931538,6.24764345222945,6.63775134442819,6.03011493230704,5.33935453545661,5.51698623348531,5.35260027423942,5.76605021476591,6.13563506692361,5.76605021476591,5.70659392163808,4.92126514871497,5.1231630355712,5.43038930249597,5.25629236933743,5.25020393666053
"PPIF",6.94456530490327,7.571909626511,7.68921706088749,7.91917338434652,7.54202704529359,7.10906372637157,7.43876971566709,5.93474489727932,8.23378952999135,7.07649449496293,6.69712977966733,6.76244231560519,7.68921326347736,7.90398867911112,8.23689112694645,7.96633151424664,8.31992346790795,5.72696304164694,5.42368709824356,6.09553755107774,5.88455290672633,5.87397872193928
